Metric,RF Baseline,RF Finetuned,DL Baseline,DL Finetuned
Accuracy,0.52,0.8933333333333333,0.30666666666666664,0.68
Macro-F1,0.375,0.9054621848739496,0.2391304347826087,0.7222222222222222
